agente,desempenho_medio,sujeiras_limpas,repeticoes,passos
"Reflexo simples (AIMA, feito p/ o mundo de 2 quadrados)",-1000,0,20,1000
Reflexo 2D (escrito para este ambiente),-445,5.55,20,1000
